City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
520,istaravshan,39.9142,69.0033,11.660000000000025,37,48,1.55,TJ,1696121512
521,kadaura,25.9833,79.85,25.340000000000032,62,5,2.4,IN,1696121513
522,cienfuegos,22.1461,-80.4356,26.08000000000004,89,86,4.12,CU,1696121513
523,nadi,-17.8,177.4167,27.0,47,75,6.69,FJ,1696121513
524,ingeniero jacobacci,-41.3427,-69.5448,11.230000000000018,44,100,3.41,AR,1696121514
525,santa terezinha,-29.9002,-50.0904,15.879999999999995,88,100,4.57,BR,1696121514
526,iskenderun,36.5872,36.1735,21.460000000000036,84,10,2.32,TR,1696121515
527,kapa'a,22.0752,-159.319,30.99000000000001,74,100,6.69,US,1696121515
528,lewistown,40.5992,-77.5714,18.670000000000016,94,75,0.0,US,1696121439
529,korsakov,46.6328,142.7813,14.910000000000025,93,100,6.8,RU,1696121516
530,strezhevoy,60.7333,77.5889,-0.839999999999975,80,100,2.7,RU,1696121516
531,essaouira,31.5125,-9.77,22.720000000000027,43,16,2.57,MA,1696121516
532,pariaman,-0.619,100.12,26.03000000000003,82,89,2.21,ID,1696121517
533,tofol,5.3248,163.0078,31.879999999999995,62,75,3.09,FM,1696121517
534,thunder bay,48.4001,-89.3168,15.990000000000009,88,40,2.06,CA,1696121517
535,es castell,39.8795,4.2854,21.379999999999995,78,0,2.06,ES,1696121517
536,alekseyevka,50.6309,38.6903,14.730000000000018,54,2,1.13,RU,1696121518
537,labytnangi,66.6572,66.4183,2.180000000000007,99,100,3.29,RU,1696121518
538,san andres,12.5847,-81.7006,30.010000000000048,79,20,3.09,CO,1696121518
539,san borja,-14.8167,-66.85,25.860000000000014,63,59,1.07,BO,1696121519
540,el galpon,-25.3807,-64.6526,17.860000000000014,42,40,0.92,AR,1696121519
541,okayama,34.6617,133.935,27.710000000000036,78,75,1.54,JP,1696121406
542,bacalar,18.6667,-88.3833,26.58000000000004,88,16,1.99,MX,1696121520
543,ubari,26.5921,12.7805,25.480000000000018,42,6,4.8,LY,1696121520
544,prado,-17.3411,-39.2208,23.350000000000023,75,99,3.72,BR,1696121520
545,aransas pass,27.9095,-97.15,30.05000000000001,81,40,6.17,US,1696121520
546,pyapon,16.2833,95.6833,25.5,94,100,3.13,MM,1696121521
547,petite riviere,-20.1894,57.4453,21.860000000000014,85,20,3.54,MU,1696121521
548,flin flon,54.7682,-101.865,8.700000000000045,63,100,1.63,CA,1696121521
549,xinyuan,37.3,99.0,6.900000000000034,87,98,1.55,CN,1696121522
550,al hazm,16.1641,44.7769,23.870000000000005,20,0,0.52,YE,1696121522
551,sao vicente,-23.9631,-46.3919,25.150000000000034,26,98,0.39,BR,1696121522
